Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Perez-Lao, E; Sanchez-Galan, JE; Gittens, RA; ",Assessing the performance of different sample targets for a MALDI-TOF mass spectrometer,2014 IEEE Central America and Panama Convention (CONCAPAN XXXIV),,,1-4,2014,IEEE
"Galan, Javier Sanchez; Mendez, Jorge; ",Interoperabilidad de Agentes Moviles (IDEAS),,,,,2006,Universidad Tecnologia de Panama
"Galan, Javier Sanchez; ",Large Scale Identification of Transcription Factor Binding Sites in DNA Sequences,,,,,2010,McGill University
"Frauca, Javier Sanchez Galan; ",Application of near-infrared spectroscopy and chemoinformatic analyses to biological fluids for the assessment of maternal and fetal health status,,,,,2015,McGill University
"Power, Kristin M; Sanchez-Galan, Javier E; Luskey, Gary W; Koski, Kristine G; Burns, David H; ",Use of Near‐Infrared Spectroscopic Analysis of Second Trimester Amniotic Fluid to Assess Preterm Births,Journal of pregnancy,2011,1,980985,2011,Hindawi Publishing Corporation
"Sanchez‐Galan, Javier; Burns, David; Koski, Kristine; ",Near‐Infrared (NIR) Spectroscopy of Amniotic Fluid (AF) Distinguishes Between AGA and LGA Infants,The FASEB Journal,29,,592.5,2015,The Federation of American Societies for Experimental Biology
"Sanchez‐Galan, Javier; Gonzalez‐Fernandez, Doris; Murillo, Enrique; Scott, Marilyn; Burns, David; Koski, Kristine; ",Near‐infrared spectroscopy characterizes vitamin deficiencies and infection status during pregnancy (804.1),The FASEB Journal,28,,804.1,2014,The Federation of American Societies for Experimental Biology
"Sanchez‐Galan, Javier E; Odiere, Maurice R; Scott, Marilyn E; Burns, David H; Koski, Kristine G; ",Metabolic Profiling of Maternal and Pup Serum using Near‐Infrared Spectroscopy Identifies Distinct Patterns for Nematode Infection and Dietary Protein Deficiency,The FASEB Journal,30,,lb250-lb250,2016,The Federation of American Societies for Experimental Biology
"Sanchez-Galan, Javier E.; Donado Morcillo, Carlos A; ",Is Panama on the verge of a scientific brain drain?,https://theconversation.com/is-panama-on-the-verge-of-a-scientific-brain-drain-59576,,https://theconversation.com/is-panama-on,,2016,
"Sanchez-Galan, Javier; Mendez, Jorge; ",Software Agent Technologies (La Tecnologıa de Agentes),XI Congreso Nacional de Ciencia y Tecnología APANAC,,,,2006,
"Sanchez-Galan, Javier E.; Power, Kristin M.; Luskey, Gary W.; Burns, Kristine G. Koski and David H.; ",Near-Infrared Spectroscopic Analysis of Amniotic Fluid to Assess Pre-term Delivery,94th Canadian Chemistry Conference and Exhibition,,,,2011,http://csc2011.cheminst.ca/00002367.htm
"Harel S, Sanchez-Galan JE, Blanchette M, Magder S, Hussain S.; ",A role for the ETS-Family of Transcription Factors in Angiopoietin-1/Tie-2 signalling axis,12th Annual McGill Biomedical Graduate Conference (AMBGC 2012),,,,2012,
"Javier E. Sanchez-Galan, David H. Burns, Kristine G. Koski; ",NIR analysis of 2nd Trimester Amniotic Fluid for the Determination of Gestational Length and Infant Birth Weight,14th Annual McGill Biomedical Graduate Conference (AMBGC 2014),,,,2014,
"Poveda, Héctor; Merchán, Fernando; Sanchez-Galan, Javier E.; ",Estimación de Frecuencia en Redes Eléctricas Inteligentes en presencia de Desbalance de Voltaje basado en Modelos Múltiples Interactivos,"Global Partnerships for Development and Engineering Education: Proceedings of the 15th LACCEI International Multi-Conference for Engineering, Education and Technology",,ISBN-13 978-0-9993443-0-9,,2017,http://www.laccei.org/LACCEI2017-BocaRaton/meta/FP356.html
"Serrano, Jorge; Fábrega, José; Quirós, Evelyn; Sánchez-Galán, Javier; Jiménez, José Ulises; ",Análisis prospectivo de la detección hiperespectral de cultivos de arroz (Oryza sativa L.),KnE Engineering,,,69-79,2018,
"Carlos Quintero, Fernando Merchán, Aydeé Cornejo, and Javier Sánchez-Galán; ",Uso de Redes Neuronales Convolucionales para el Reconocimiento Automático de Imágenes de Macroinvertebrados para el Biomonitoreo Participativo,KnE Engineering,3,1,585-596,2018,
"Mangul, Serghei; Martin, Lana; Langmead, Ben; Galan, Javier Sanchez; Toma, Ian; Pevzner, Pavel; Eskin, Eleazar; ",Using bioinformatics training to boost research capacities in resource-limited regions,PeerJ Preprints,6,,e27415v1,2018,"PeerJ Inc. San Diego, USA"
"Sánchez-Galán, Javier E.; Serrano, Jorge; Jiménez S, José Ulises; Quirós-McIntire, Evelyn Itzel; Fábrega, José; ",Diseño y Estructuración de una Biblioteca de Firmas Espectrales de Coberturas Agropecuarias para Panamá,"Innovation in Education and Inclusion: Proceedings of the 16th LACCEI International Multi-Conference for Engineering, Education and Technology, M. M. Larrondo Petrie, H. Alvarez (Eds.), Lima - Peru 18-20, July 2018,LACCEI, Boca Raton, USA, 2018",,ISBN-13 978-0-9993443-0-9,,2018,http://www.laccei.org/LACCEI2018-Lima/work_in_progress/WP130.pdf
"Jiménez S, José Ulises; Quirós-McIntire, Evelyn Itzel; Víctor Camargo-García, Jorge Serrano; Javier E. Sánchez-Galán, José Fábrega; ",Caracterización morfológica y espectral de 6 variedades criollas de arroz (Oryza sativa L.) en Panamá,"Innovation in Education and Inclusion: Proceedings of the 16th LACCEI International Multi-Conference for Engineering, Education and Technology, M. M. Larrondo Petrie, H. Alvarez (Eds.), Lima - Peru 18-20, July 2018,LACCEI, Boca Raton, USA, 2018",,ISBN-13 978-0-9993443-0-9,,2018,http://www.laccei.org/LACCEI2018-Lima/full_papers/FP143.pdf
"Serrano, Jorge; Fábrega, José; Evelyn Itzel Quirós-McIntire, José Fábrega; José Ulises Jimenez, Javier E. Sánchez-Galán; ",Detección de índice de área foliar por firma espectral de cultivo de arroz (Oryza sativa L.),"Innovation in Education and Inclusion: Proceedings of the 16th LACCEI International Multi-Conference for Engineering, Education and Technology, M. M. Larrondo Petrie, H. Alvarez (Eds.), Lima - Peru 18-20, July 2018,LACCEI, Boca Raton, USA, 2018",,ISBN-13 978-0-9993443-0-9,,2018,http://www.laccei.org/LACCEI2018-Lima/full_papers/FP303.pdf
"Mangul, Serghei; Martin, Lana S; Langmead, Ben; Sanchez-Galan, Javier E; Toma, Ian; Hormozdiari, Fereydoun; Pevzner, Pavel; Eskin, Eleazar; ",How bioinformatics and open data can boost basic science in countries and universities with limited resources,Nature biotechnology,37,3,324-326,2019,Nature Publishing Group US New York
"Loaiza, Jose R; Almanza, Alejandro; Rojas, Juan C; Mejía, Luis; Cervantes, Norma D; Sanchez-Galan, Javier E; Merchán, Fernando; Grillet, Arnaud; Miller, Matthew J; De León, Luis F; ",Application of matrix-assisted laser desorption/ionization mass spectrometry to identify species of Neotropical Anopheles vectors of malaria,Malaria journal,18,1,95,2019,BioMed Central London
"Bennett, Kelly L; Gómez Martínez, Carmelo; Almanza, Alejandro; Rovira, Jose R; McMillan, W Owen; Enriquez, Vanessa; Barraza, Elia; Diaz, Marcela; Sanchez-Galan, Javier E; Whiteman, Ari; ",High infestation of invasive Aedes mosquitoes in used tires along the local transport network of Panama,Parasites & vectors,12,1,264,2019,BioMed Central London
"Kusunoki, Shoji; Nakaegawa, Tosiyuki; Pinzón, Reinhardt; Sanchez-Galan, Javier E; Fábrega, José R; ",Future precipitation changes over Panama projected with the atmospheric global model MRI-AGCM3. 2,Climate Dynamics,53,7,5019-5034,2019,Springer Berlin Heidelberg Berlin/Heidelberg
"Merchan, Fernando; Echevers, Giacomo; Poveda, Héctor; Sanchez-Galan, Javier E; Guzman, Hector M; ",Detection and identification of manatee individual vocalizations in Panamanian wetlands using spectrogram clustering,The Journal of the Acoustical Society of America,146,3,1745-1757,2019,AIP Publishing
"Sanchez-Galan, Javier; Jiménez, José Ulises; Fábrega, José; Serrano, Jorge; Quirós-McIntire, Evelyn Itzel; ",Clasificacion Supervisada de Firmas Espectrales de´ Coberturas Agropecuarias en Panama Utilizando el´ Mapeo del Angulo Espectral,,,,,2019,XLV CONFERENCIA LATINOAMERICANA DE INFORMÁTICA
"Loaiza, Jose; Almanza, Alejandro; Rojas, Juan Camilo; Mejia, Luis Carlos; Cervantes, Norma; Sanchez-Galan, Javier E; Merchan, Fernando; Grillet, Arnaud; Miller, Matthew J; De Leon, Luis Fernando; ",Matrix-assisted laser desorption ionization mass spectrometry to identify field-collected Neotropical Anopheles mosquito vectors of human Plasmodia,Entomology 2019,,,,2019,ESA
"Sanchez-Galan, Javier E; Merchan, Fernando; Almanza, Alejandro; Gittens, Rolando A; Loaiza, Jose; ",Development of a novel mass spectral signature library and analysis approach for the identification of arthropods,Entomology 2019,,,,2019,ESA
"Miller, Norma L; Sanchez-Galan, Javier E; Fernández, Benigna E; ",Use of an Intelligent Tutoring System for Mathematics by Students Who Aspire to Enter the Technological University of Panama,"2019 7th International Engineering, Sciences and Technology Conference (IESTEC)",,,255-260,2019,IEEE
"Gittens, Rolando A; Almanza, Alejandro; Álvarez, Eric; Bennett, Kelly L; Mejía, Luis C; Sanchez-Galan, Javier E; Merchan, Fernando; Kern, Jonathan; Miller, Matthew J; Esser, Helen J; ",Proteomic fingerprint identification of Neotropical hard tick species (Acari: Ixodidae) using a self-curated mass spectra reference library,bioRxiv,,,2020.04. 13.040089,2020,Cold Spring Harbor Laboratory
"Sánchez-Galán, Javier E; Reyes, Jorge Serrano; Jiménez, José Ulises; Quirós-McIntire, Evelyn Itzel; Fábrega, José R; ",Supervised Classification of Spectral Signatures from Agricultural Land-Cover in Panama Using the Spectral Angle Mapper Algorithm,2019 XLV Latin American Computing Conference (CLEI),,,1-7,2019,IEEE
"Merchan, Fernando; Guerra, Ariel; Poveda, Héctor; Guzmán, Héctor M; Sanchez-Galan, Javier E; ",Bioacoustic classification of antillean manatee vocalization spectrograms using deep convolutional neural networks,Applied Sciences,10,9,3286,2020,MDPI
"Guzman, Héctor; Merchán, Fernando; Poveda, Héctor; Sánchez, Javier; Ferré, Guillaume; ",Webinar: Ecología y Monitoreo de Manatíes en Panamá,,,,,2020,
"PINZÓN, REINHARDT; MÜLLER, MICHEL; NAKAEGAWA, TOSHIYUKI; SÁNCHEZ-GALÁN, JAVIER; UJALDÓN, MANUEL; FÁBREGA, JOSÉ; ",Weather Projections And Dynamical Downscaling For The Republic Of Panama: Evaluation Of Implementation Methods Via Gpgpu Accelaration,22nd IAHR-APD CONGRESS 2020,,,,2020,https://iahr-apd2020.eng.hokudai.ac.jp/htdocs/static/mirror/proceedings/pdf …
"Martínez, Marlemys M; Nakaegawa, Tosiyuki; Pinzón, Reinhardt; Kusunoki, Shoji; Gordón, Román; Sanchez-Galan, Javier E; ",Using a statistical crop model to predict maize yield by the end-of-century for the Azuero region in Panama,Atmosphere,11,10,1097,2020,MDPI
"Gittens, Rolando A; Almanza, Alejandro; Bennett, Kelly L; Mejía, Luis C; Sanchez-Galan, Javier E; Merchan, Fernando; Kern, Jonathan; Miller, Matthew J; Esser, Helen J; Hwang, Robert; ",Proteomic fingerprinting of Neotropical hard tick species (Acari: Ixodidae) using a self-curated mass spectra reference library,PLoS neglected tropical diseases,14,10,e0008849,2020,Public Library of Science
"Roach-Rivas, Giancarlo; Sanchez-Galan, Javier E.; ",Análisis de Redes Sociales para el descubrimiento de patrones de colaboración en artistas panameños: caso de Estudio Genero Rock,XVI Congreso Nacional de Sociologia,,,301-316,2018,
"Merchan, Fernando; Poveda, Martin; Cáceres-Hernández, Danilo E; Sanchez-Galan, Javier E; ",Indoor Navigation Aid Systems for the Blind and Visually Impaired Based on Depth Sensors,Examining Optoelectronics in Machine Vision and Applications in Industry 4.0,,,187-223,2021,IGI Global
"Sánchez-Galán, Javier; ",MACHINE LEARNING Y SUS APLICACIONES,"ACTAS DEL V CONGRESO INVESTIGACIÓN, DESARROLLO E INNOVACIÓN DE LA UNIVERSIDAD INTERNACIONAL DE CIENCIA Y TECNOLOGÍA IDI-UNICYT 2020 _",,,54,2021,
"Sánchez-Galán, Javier E; Barranco, Fatima Rangel; Reyes, Jorge Serrano; Quirós-McIntire, Evelyn I; Jiménez, José Ulises; Fábrega, José R; ",Using Supervised Classification Methods for the Analysis of Multi-spectral Signatures of Rice Varieties in Panama,"Advances in Science, Technology and Engineering Systems Journal",6,2,552-558,2021,"Advances in Science, Technology and Engineering Systems"
"Sanchez-Galan, Javier E; ",Application of Near-Infrared Spectroscopy and ChemoInformatic Analyses to Biological Fluids for the Assessment of Maternal and Fetal Health Status,,,,,2014,McGill University (Canada)
"Sanchez Galan Frauca, Javier; ",Large scale identification of transcription factor binding sites in DNA sequences,,,,,2010,McGill University
"Sanchez-Galan, Javier E; Ureña, Grimaldo; Escovar, Luis F; Fabrega-Duque, Jose R; Coles, Alexander; Kurt, Zohre; ","Challenges to detect SARS-CoV-2 on environmental media, the need and strategies to implement the detection methodologies in wastewaters",Journal of Environmental Chemical Engineering,9,5,105881,2021,Elsevier
"Harel, Sharon; Sanchez, Veronica; Moamer, Alaa; Sanchez-Galan, Javier E; Abid Hussein, Mohammad N; Mayaki, Dominique; Blanchette, Mathieu; Hussain, Sabah NA; ","ETS1, ELK1, and ETV4 transcription factors regulate angiopoietin-1 signaling and the angiogenic response in endothelial cells",Frontiers in Physiology,12,,683651,2021,Frontiers Media SA
"Sánchez-Galán, Javier E; Henry, Anel; Rangel, Fatima; Sáez, Emmy; Jo, Kang-Hyun; Cáceres-Hernández, Danilo; ",Recognition of multiple panamanian watermelon varieties based on feature extraction analysis,International Conference on Intelligent Computing,,,65-75,2021,Springer International Publishing Cham
"Liu, Lucia; Guevara, Ameth; Sanchez-Galan, Javier E; ",Identificación de incidentes de tráfico en Panamá por medio del análisis de datos de redes sociales,Congreso Nacional de Ciencia y Tecnología–APANAC,,,428-435,2021,
"Sanchez-Galan, Javier E; Murillo-Gonzalez, Danny; ",Libro del XVIII Congreso Nacional de Ciencia y Tecnología-APANAC 2021,Congreso Nacional de Ciencia y Tecnología–APANAC,,,1-458,2021,
"Sanchez-Galan, Javier E; Fábrega, José; ",Congreso Nacional de Ciencia y Tecnología–APANAC: Acta de artículos 2021,Congreso Nacional de Ciencia y Tecnología–APANAC,,,1-536,2021,
"Fatima Rangel, Emmy Saez, Anel Henry, Danilo Caceres-Hernandez, Javier Sanchez Galan; ",Using Visible/Near-Infrared Reflectance Spectroscopy and Chemometrics for the Rapid Evaluation of Two Panamanian Watermelon (Citrullus lanatus) Varieties,2021 IEEE 30th International Symposium on Industrial Electronics (ISIE),,,,2021,
"Navarro Valencia, Vicente; Díaz, Yamilka; Pascale, Juan Miguel; Boni, Maciej F; Sanchez-Galan, Javier E; ",Assessing the Effect of Climate Variables on the Incidence of Dengue Cases in the Metropolitan Region of Panama City,International Journal of Environmental Research and Public Health,18,22,12108,2021,Multidisciplinary Digital Publishing Institute
"Ríos, Edwin; Merchan, Fernando; Higuero, Rosa; Poveda, Héctor; Sanchez-Galan, Javier E; Ferré, Guillaume; Guzman, Hector M; ",Manatee vocalization detection method based on the autoregressive model and neural networks,2021 IEEE Latin-American Conference on Communications (LATINCOM),,,1-6,2021,IEEE
"Merchán, Fernando; Poveda, President Dr Héctor; Sánchez-Galán, Javier; ",THE GMEPE/PAHCE,Global Medical Engineering Physics Exchanges (GMEPE) & Pan American Health Care Exchanges (PAHCE),,,,2022,
"Contreras, Kenji; Henry, Anel; Cáceres-Hernández, Danilo; Sanchez-Galan, Javier E; ",Comparing Convolutional Neural Networks and Deep Metric Learning Methods for Classification of Export Watermelon (Citrullus lanatus) Varieties,2022 IEEE 31st International Symposium on Industrial Electronics (ISIE),,,1141-1146,2022,IEEE
"Quintero, Carlos; Merchán, Fernando; Cornejo, Aydeé; Sánchez-Galán, Javier E; ",Using Deep Convolutional Networks for the Automatic Recognition of MacroInvertebrate in Rivers and Affluents in Panama,LatinX in AI Workshop - NeurIPS 2018,,,,2018,
"Liu, Lucia; Guevara, Ameth; Sanchez-Galan, Javier E; ",Identification and classification of road traffic incidents in panama city through the analysis of a social media stream and machine learning,Intelligent Systems with Applications,16,,200158,2022,Elsevier
